tile_id;time;score;lower_left_lon;lower_left_lat;upper_right_lon;upper_right_lat
31774381;2020-01-27;1156;7.43338;46.9285947;7.434693;46.9294943
31782354;2020-01-27;1661;7.4333799;46.9294942;7.4346929;46.9303938
31694705;2020-01-27;0;7.434694;46.9187;7.4360067;46.9195996
31774380;2020-01-27;1311;7.4346932;46.9276952;7.4360061;46.9285948
31782353;2020-01-27;1488;7.4346931;46.9285947;7.4360061;46.9294943
31790327;2020-01-27;1515;7.434693;46.9294943;7.436006;46.9303938
31806278;2020-01-27;534;7.4346928;46.9312933;7.4360059;46.9321929
31814255;2020-01-27;0;7.4346927;46.9321928;7.4360058;46.9330924
31702667;2020-01-27;0;7.4360068;46.9187001;7.4373196;46.9195996
31710631;2020-01-27;0;7.4360067;46.9195996;7.4373195;46.9204991
31718596;2020-01-27;0;7.4360067;46.9204991;7.4373195;46.9213987
31782352;2020-01-27;1299;7.4360062;46.9276953;7.4373192;46.9285948
31790326;2020-01-27;1472;7.4360061;46.9285948;7.4373192;46.9294943
31798301;2020-01-27;1240;7.4360061;46.9294943;7.4373191;46.9303939
31806277;2020-01-27;884;7.436006;46.9303938;7.4373191;46.9312934
31814254;2020-01-27;539;7.436006;46.9312934;7.437319;46.9321929
31822232;2020-01-27;0;7.4360059;46.9321929;7.437319;46.9330924
31830211;2020-01-27;568;7.4360058;46.9330924;7.437319;46.9339919
31694703;2020-01-27;0;7.4373197;46.916901;7.4386325;46.9178006
31702666;2020-01-27;0;7.4373197;46.9178006;7.4386324;46.9187001
31710630;2020-01-27;0;7.4373196;46.9187001;7.4386324;46.9195996
31718595;2020-01-27;0;7.4373196;46.9195996;7.4386324;46.9204991
31726561;2020-01-27;0;7.4373195;46.9204991;7.4386324;46.9213987
31790325;2020-01-27;1124;7.4373192;46.9276953;7.4386323;46.9285948
31798300;2020-01-27;1450;7.4373192;46.9285948;7.4386322;46.9294944
31806276;2020-01-27;1431;7.4373192;46.9294943;7.4386322;46.9303939
31814253;2020-01-27;1162;7.4373191;46.9303939;7.4386322;46.9312934
31822231;2020-01-27;848;7.4373191;46.9312934;7.4386322;46.9321929
31830210;2020-01-27;496;7.437319;46.9321929;7.4386322;46.9330924
31838190;2020-01-27;598;7.437319;46.9330924;7.4386322;46.933992
31702665;2020-01-27;0;7.4386325;46.9169011;7.4399452;46.9178006
31710629;2020-01-27;0;7.4386325;46.9178006;7.4399453;46.9187001
31718594;2020-01-27;0;7.4386324;46.9187001;7.4399453;46.9195996
31726560;2020-01-27;0;7.4386324;46.9195996;7.4399453;46.9204992
31734527;2020-01-27;0;7.4386324;46.9204991;7.4399453;46.9213987
31798299;2020-01-27;914;7.4386323;46.9276953;7.4399453;46.9285948
31806275;2020-01-27;1328;7.4386323;46.9285948;7.4399453;46.9294944
31814252;2020-01-27;1570;7.4386322;46.9294944;7.4399453;46.9303939
31822230;2020-01-27;1650;7.4386322;46.9303939;7.4399453;46.9312934
31830209;2020-01-27;1555;7.4386322;46.9312934;7.4399453;46.9321929
31838189;2020-01-27;1180;7.4386322;46.9321929;7.4399454;46.9330924
31846170;2020-01-27;858;7.4386322;46.9330924;7.4399454;46.933992
31854152;2020-01-27;1595;7.4386322;46.933992;7.4399454;46.9348915
31710628;2020-01-27;0;7.4399452;46.9169011;7.441258;46.9178006
31718593;2020-01-27;0;7.4399452;46.9178006;7.4412581;46.9187001
31726559;2020-01-27;0;7.4399453;46.9187001;7.4412581;46.9195996
31734526;2020-01-27;0;7.4399453;46.9195996;7.4412581;46.9204991
31742494;2020-01-27;0;7.4399453;46.9204992;7.4412582;46.9213987
31750463;2020-01-27;0;7.4399453;46.9213987;7.4412582;46.9222982
31798298;2020-01-27;0;7.4399453;46.9267958;7.4412584;46.9276953
31806274;2020-01-27;735;7.4399453;46.9276953;7.4412584;46.9285948
31814251;2020-01-27;1106;7.4399453;46.9285948;7.4412584;46.9294944
31822229;2020-01-27;1359;7.4399453;46.9294944;7.4412584;46.9303939
31830208;2020-01-27;1457;7.4399453;46.9303939;7.4412585;46.9312934
31838188;2020-01-27;1427;7.4399453;46.9312934;7.4412585;46.9321929
31846169;2020-01-27;1155;7.4399453;46.9321929;7.4412585;46.9330924
31854151;2020-01-27;919;7.4399454;46.9330924;7.4412586;46.933992
31718592;2020-01-27;0;7.441258;46.9169011;7.4425708;46.9178005
31726558;2020-01-27;0;7.441258;46.9178006;7.4425709;46.9187001
31734525;2020-01-27;0;7.4412581;46.9187001;7.4425709;46.9195996
31742493;2020-01-27;0;7.4412581;46.9195996;7.442571;46.9204991
31750462;2020-01-27;0;7.4412581;46.9204991;7.442571;46.9213986
31758432;2020-01-27;0;7.4412582;46.9213987;7.4425711;46.9222982
31766403;2020-01-27;0;7.4412582;46.9222982;7.4425711;46.9231977
31774375;2020-01-27;0;7.4412582;46.9231977;7.4425712;46.9240972
31806273;2020-01-27;0;7.4412583;46.9267958;7.4425714;46.9276953
31814250;2020-01-27;657;7.4412584;46.9276953;7.4425714;46.9285948
31822228;2020-01-27;955;7.4412584;46.9285948;7.4425715;46.9294943
31830207;2020-01-27;1051;7.4412584;46.9294944;7.4425715;46.9303938
31838187;2020-01-27;1001;7.4412584;46.9303939;7.4425716;46.9312934
31846168;2020-01-27;904;7.4412585;46.9312934;7.4425716;46.9321929
31854150;2020-01-27;895;7.4412585;46.9321929;7.4425717;46.9330924
31862133;2020-01-27;945;7.4412585;46.9330924;7.4425717;46.9339919
31710626;2020-01-27;0;7.4425707;46.915102;7.4438835;46.9160015
31718591;2020-01-27;0;7.4425707;46.9160015;7.4438836;46.916901
31726557;2020-01-27;0;7.4425708;46.916901;7.4438836;46.9178005
31734524;2020-01-27;0;7.4425708;46.9178005;7.4438837;46.9187
31742492;2020-01-27;0;7.4425709;46.9187001;7.4438838;46.9195996
31750461;2020-01-27;0;7.4425709;46.9195996;7.4438839;46.9204991
31758431;2020-01-27;0;7.442571;46.9204991;7.4438839;46.9213986
31766402;2020-01-27;0;7.442571;46.9213986;7.443884;46.9222981
