tile_id;time;score;lower_left_lon;lower_left_lat;upper_right_lon;upper_right_lat
32102087;2020-01-27;1105;7.4425731;46.9591784;7.443887;46.9600779
32142167;2020-01-27;42;7.4425734;46.963676;7.4438874;46.9645755
32102086;2020-01-27;1169;7.4438869;46.9582789;7.4452008;46.9591783
32110100;2020-01-27;1142;7.443887;46.9591784;7.4452009;46.9600778
32118115;2020-01-27;1550;7.443887;46.9600779;7.445201;46.9609774
32126131;2020-01-27;1739;7.4438871;46.9609774;7.4452011;46.9618769
32134148;2020-01-27;833;7.4438872;46.9618769;7.4452011;46.9627764
32142166;2020-01-27;412;7.4438872;46.9627764;7.4452012;46.9636759
32150185;2020-01-27;64;7.4438873;46.963676;7.4452013;46.9645754
32158205;2020-01-27;0;7.4438874;46.9645755;7.4452014;46.9654749
32166226;2020-01-27;0;7.4438875;46.965475;7.4452015;46.9663745
32110099;2020-01-27;1466;7.4452007;46.9582788;7.4465146;46.9591783
32118114;2020-01-27;1283;7.4452008;46.9591783;7.4465147;46.9600778
32126130;2020-01-27;1641;7.4452009;46.9600778;7.4465148;46.9609773
32134147;2020-01-27;3181;7.445201;46.9609774;7.4465149;46.9618768
32142165;2020-01-27;2735;7.4452011;46.9618769;7.446515;46.9627763
32150184;2020-01-27;1057;7.4452011;46.9627764;7.4465152;46.9636758
32158204;2020-01-27;204;7.4452012;46.9636759;7.4465153;46.9645753
32166225;2020-01-27;0;7.4452013;46.9645754;7.4465154;46.9654749
32174247;2020-01-27;0;7.4452014;46.9654749;7.4465155;46.9663744
32182270;2020-01-27;0;7.4452015;46.9663745;7.4465156;46.9672739
32190294;2020-01-27;114;7.4452016;46.967274;7.4465157;46.9681734
32134146;2020-01-27;2138;7.4465147;46.9600778;7.4478287;46.9609772
32142164;2020-01-27;2187;7.4465148;46.9609773;7.4478288;46.9618767
32150183;2020-01-27;2148;7.4465149;46.9618768;7.4478289;46.9627762
32158203;2020-01-27;1341;7.446515;46.9627763;7.4478291;46.9636757
32166224;2020-01-27;340;7.4465152;46.9636758;7.4478292;46.9645753
32174246;2020-01-27;0;7.4465153;46.9645753;7.4478294;46.9654748
32182269;2020-01-27;0;7.4465154;46.9654749;7.4478295;46.9663743
32190293;2020-01-27;44;7.4465155;46.9663744;7.4478296;46.9672738
32198318;2020-01-27;587;7.4465156;46.9672739;7.4478298;46.9681733
32206344;2020-01-27;805;7.4465157;46.9681734;7.4478299;46.9690728
32214371;2020-01-27;800;7.4465159;46.9690729;7.44783;46.9699723
32126128;2020-01-27;3350;7.4478283;46.9582787;7.4491422;46.9591781
