tile_id;time;score;lower_left_lon;lower_left_lat;upper_right_lon;upper_right_lat
31790338;2020-01-27;1236;7.4202455;46.9393874;7.4215585;46.9402872
31798313;2020-01-27;963;7.4202452;46.940287;7.4215582;46.9411867
31806289;2020-01-27;748;7.4202449;46.9411865;7.4215579;46.9420862
31814266;2020-01-27;703;7.4202445;46.942086;7.4215576;46.9429857
31822244;2020-01-27;970;7.4202442;46.9429855;7.4215573;46.9438853
31830223;2020-01-27;1562;7.4202439;46.943885;7.421557;46.9447848
31798312;2020-01-27;909;7.4215588;46.9393877;7.4228719;46.9402874
31806288;2020-01-27;852;7.4215585;46.9402872;7.4228716;46.9411869
31814265;2020-01-27;791;7.4215582;46.9411867;7.4228713;46.9420864
31822243;2020-01-27;807;7.4215579;46.9420862;7.422871;46.9429859
31830222;2020-01-27;879;7.4215576;46.9429857;7.4228708;46.9438855
31838202;2020-01-27;1200;7.4215573;46.9438853;7.4228705;46.944785
31846183;2020-01-27;1758;7.421557;46.9447848;7.4228702;46.9456845
31798311;2020-01-27;626;7.4228724;46.9384883;7.4241855;46.939388
31806287;2020-01-27;940;7.4228722;46.9393879;7.4241852;46.9402876
31814264;2020-01-27;1071;7.4228719;46.9402874;7.424185;46.9411871
31822242;2020-01-27;1057;7.4228716;46.9411869;7.4241847;46.9420866
31830221;2020-01-27;1023;7.4228713;46.9420864;7.4241845;46.9429861
31838201;2020-01-27;1011;7.422871;46.9429859;7.4241842;46.9438856
31846182;2020-01-27;1338;7.4228708;46.9438855;7.4241839;46.9447852
31854164;2020-01-27;2347;7.4228705;46.944785;7.4241837;46.9456847
31806286;2020-01-27;574;7.4241857;46.9384885;7.4254988;46.9393882
31814263;2020-01-27;1373;7.4241855;46.939388;7.4254986;46.9402877
31822241;2020-01-27;2109;7.4241852;46.9402876;7.4254983;46.9411873
31830220;2020-01-27;1713;7.424185;46.9411871;7.4254981;46.9420868
31838200;2020-01-27;1518;7.4241847;46.9420866;7.4254979;46.9429863
31846181;2020-01-27;1638;7.4241845;46.9429861;7.4254976;46.9438858
31854163;2020-01-27;1787;7.4241842;46.9438856;7.4254974;46.9447853
31862146;2020-01-27;2128;7.4241839;46.9447852;7.4254972;46.9456848
31806285;2020-01-27;0;7.4254993;46.9375892;7.4268123;46.9384889
31814262;2020-01-27;796;7.425499;46.9384887;7.4268121;46.9393884
31822240;2020-01-27;1738;7.4254988;46.9393882;7.4268119;46.9402879
31830219;2020-01-27;2248;7.4254986;46.9402877;7.4268117;46.9411874
31838199;2020-01-27;2214;7.4254983;46.9411873;7.4268115;46.9420869
31846180;2020-01-27;2281;7.4254981;46.9420868;7.4268113;46.9429864
31854162;2020-01-27;2930;7.4254979;46.9429863;7.4268111;46.943886
31862145;2020-01-27;3148;7.4254976;46.9438858;7.4268109;46.9447855
31870129;2020-01-27;2455;7.4254974;46.9447853;7.4268106;46.945685
31878114;2020-01-27;2053;7.4254972;46.9456848;7.4268104;46.9465845
31790333;2020-01-27;219;7.4268132;46.9348908;7.4281262;46.9357904
31798308;2020-01-27;0;7.426813;46.9357903;7.428126;46.93669
31806284;2020-01-27;127;7.4268128;46.9366898;7.4281258;46.9375895
31814261;2020-01-27;438;7.4268126;46.9375893;7.4281257;46.938489
31822239;2020-01-27;1238;7.4268123;46.9384889;7.4281255;46.9393885
31830218;2020-01-27;1578;7.4268121;46.9393884;7.4281253;46.940288
31838198;2020-01-27;2363;7.4268119;46.9402879;7.4281251;46.9411875
31846179;2020-01-27;3186;7.4268117;46.9411874;7.4281249;46.9420871
31854161;2020-01-27;2962;7.4268115;46.9420869;7.4281247;46.9429866
31862144;2020-01-27;3097;7.4268113;46.9429864;7.4281245;46.9438861
31870128;2020-01-27;4782;7.4268111;46.943886;7.4281243;46.9447856
31878113;2020-01-27;3824;7.4268109;46.9447855;7.4281241;46.9456851
31886099;2020-01-27;2384;7.4268106;46.945685;7.4281239;46.9465847
31774385;2020-01-27;1465;7.428127;46.9321924;7.42944;46.933092
